date,low,open,high,close,volume,adj_close,split_coeff,dividend
2018-04-03,9.3,9.63,9.77,9.55,54891576.0,9.55,1.0,0.0
2018-04-04,9.04,9.08,9.81,9.77,67356888.0,9.77,1.0,0.0
2018-04-05,9.91,10.05,10.2,10.02,65758791.0,10.02,1.0,0.0
2018-04-06,9.5,9.83,10.1,9.61,51087146.0,9.61,1.0,0.0
2018-04-09,9.52,9.75,9.84,9.53,38382608.0,9.53,1.0,0.0
2018-04-10,9.71,9.75,10.04,9.98,43036502.0,9.98,1.0,0.0
2018-04-11,9.79,9.87,10.03,9.82,29169324.0,9.82,1.0,0.0
2018-04-12,9.82,9.98,10.1,10.08,47784419.0,10.08,1.0,0.0
2018-04-13,9.88,10.2,10.22,9.93,38935658.0,9.93,1.0,0.0
2018-04-16,9.9,10.0,10.17,10.09,28875069.0,10.09,1.0,0.0
2018-04-17,10.2,10.28,10.53,10.52,45360314.0,10.52,1.0,0.0
2018-04-18,10.33,10.51,10.65,10.36,42449590.0,10.36,1.0,0.0
2018-04-19,9.99,10.18,10.3284,10.11,57841640.0,10.11,1.0,0.0
2018-04-20,9.95,10.05,10.14,9.99,39011902.0,9.99,1.0,0.0
2018-04-23,9.97,10.09,10.19,10.04,42971272.0,10.04,1.0,0.0
2018-04-24,9.95,10.19,10.35,10.09,44992223.0,10.09,1.0,0.0
2018-04-25,9.56,10.06,10.09,9.71,90577981.0,9.71,1.0,0.0
2018-04-26,10.61,10.87,11.19,11.04,145284090.0,11.04,1.0,0.0
2018-04-27,11.02,11.2,11.36,11.11,74347782.0,11.11,1.0,0.0
2018-04-30,10.87,11.055,11.14,10.88,50608764.0,10.88,1.0,0.0
2018-05-01,10.77,10.83,11.15,11.13,43441602.0,11.13,1.0,0.0
2018-05-02,10.97,11.1,11.155,10.97,29267302.0,10.97,1.0,0.0
2018-05-03,10.83,10.902,11.06,10.93,33310596.0,10.93,1.0,0.0
2018-05-04,10.8701,10.88,11.29,11.28,47884940.0,11.28,1.0,0.0
2018-05-07,11.3,11.32,11.68,11.59,54001692.0,11.59,1.0,0.0
2018-05-08,11.4,11.49,11.66,11.61,35218414.0,11.61,1.0,0.0
2018-05-09,11.57,11.65,11.98,11.95,49605743.0,11.95,1.0,0.0
2018-05-10,11.95,11.98,12.18,12.13,49744484.0,12.13,1.0,0.0
2018-05-11,11.69,11.89,12.03,11.95,43863746.0,11.95,1.0,0.0
2018-05-14,12.11,12.14,12.36,12.23,50263792.0,12.23,1.0,0.0
2018-05-15,12.16,12.18,12.46,12.45,44183179.0,12.45,1.0,0.0
2018-05-16,12.62,12.64,12.98,12.82,73363996.0,12.82,1.0,0.0
2018-05-17,12.66,12.79,12.9,12.82,38692510.0,12.82,1.0,0.0
2018-05-18,12.91,13.06,13.26,13.0,54063411.0,13.0,1.0,0.0
2018-05-21,12.88,13.25,13.31,12.99,49714221.0,12.99,1.0,0.0
2018-05-22,12.71,13.0,13.14,12.98,43267033.0,12.98,1.0,0.0
2018-05-23,12.9,12.93,13.18,13.1,44517762.0,13.1,1.0,0.0
2018-05-24,13.03,13.06,13.43,13.41,47785726.0,13.41,1.0,0.0
2018-05-25,13.36,13.4,13.72,13.54,43850067.0,13.54,1.0,0.0
2018-05-29,13.26,13.45,13.63,13.36,39578498.0,13.36,1.0,0.0
2018-05-30,13.48,13.48,13.95,13.82,58186435.0,13.82,1.0,0.0
2018-05-31,13.69,13.74,13.93,13.73,46797677.0,13.73,1.0,0.0
2018-06-01,13.92,13.98,14.4,14.4,71677869.0,14.4,1.0,0.0
2018-06-04,14.52,14.76,14.98,14.85,74545986.0,14.85,1.0,0.0
2018-06-05,14.63,14.85,14.9185,14.85,56122654.0,14.85,1.0,0.0
2018-06-06,15.04,15.07,15.74,15.67,97089040.0,15.67,1.0,0.0
2018-06-07,14.85,15.83,15.97,14.89,99860297.0,14.89,1.0,0.0
2018-06-08,14.31,14.52,15.33,15.25,81930486.0,15.25,1.0,0.0
2018-06-11,15.01,15.21,15.89,15.73,80737640.0,15.73,1.0,0.0
2018-06-12,15.43,15.84,15.95,15.85,67002592.0,15.85,1.0,0.0
2018-06-13,15.78,15.81,16.52,16.32,90227322.0,16.32,1.0,0.0
2018-06-14,15.58,16.62,16.79,16.25,113048551.0,16.25,1.0,0.0
2018-06-15,15.82,16.06,16.52,16.34,77612174.0,16.34,1.0,0.0
2018-06-18,16.13,16.18,17.34,17.11,104317396.0,17.11,1.0,0.0
2018-06-19,16.31,16.85,17.29,16.69,92542859.0,16.69,1.0,0.0
2018-06-20,16.37,16.83,17.13,16.52,76280646.0,16.52,1.0,0.0
2018-06-21,15.46,16.65,16.87,15.65,95638369.0,15.65,1.0,0.0
2018-06-22,15.56,15.78,15.91,15.8,59257099.0,15.8,1.0,0.0
2018-06-25,14.54,15.64,15.74,15.11,94418420.0,15.11,1.0,0.0
2018-06-26,15.1,15.32,15.6,15.5,54213466.0,15.5,1.0,0.0
2018-06-27,14.96,15.65,15.76,14.97,56014335.0,14.97,1.0,0.0
2018-06-28,14.75,14.85,15.36,15.31,48716794.0,15.31,1.0,0.0
2018-06-29,14.98,15.41,15.49,14.99,41527791.0,14.99,1.0,0.0
2018-07-02,14.74,14.8,15.18,15.16,43398768.0,15.16,1.0,0.0
2018-07-03,14.96,15.21,15.34,15.0,32094031.0,15.0,1.0,0.0
2018-07-05,15.02,15.13,15.5,15.5,40703271.0,15.5,1.0,0.0
2018-07-06,15.48,15.52,16.39,16.36,65101672.0,16.36,1.0,0.0
2018-07-09,16.17,16.73,16.84,16.61,58525542.0,16.61,1.0,0.0
2018-07-10,16.31,16.59,16.65,16.55,37092975.0,16.55,1.0,0.0
2018-07-11,16.02,16.15,16.53,16.27,42544103.0,16.27,1.0,0.0
2018-07-12,16.38,16.41,16.79,16.56,44188137.0,16.56,1.0,0.0
2018-07-13,16.22,16.68,16.69,16.27,40698475.0,16.27,1.0,0.0
2018-07-16,16.41,16.42,17.0,16.58,65275291.0,16.58,1.0,0.0
2018-07-17,16.48,16.5,16.88,16.87,42313518.0,16.87,1.0,0.0
2018-07-18,16.55,16.94,16.99,16.85,40881493.0,16.85,1.0,0.0
2018-07-19,16.55,16.71,16.88,16.71,41267829.0,16.71,1.0,0.0
2018-07-20,16.44,16.66,16.88,16.5,42906009.0,16.5,1.0,0.0
2018-07-23,15.895,16.47,16.68,16.66,44940819.0,16.66,1.0,0.0
2018-07-24,16.11,16.75,16.86,16.19,58201458.0,16.19,1.0,0.0
2018-07-25,15.72,16.3,16.39,16.05,83639684.0,16.05,1.0,0.0
2018-07-26,16.83,17.16,18.45,18.35,192661124.0,18.35,1.0,0.0
2018-07-27,18.31,19.07,19.88,18.94,161903789.0,18.94,1.0,0.0
2018-07-30,19.31,19.4,20.18,19.42,160823407.0,19.42,1.0,0.0
2018-07-31,18.27,19.35,19.5,18.33,118403405.0,18.33,1.0,0.0
2018-08-01,18.32,18.34,18.95,18.48,75495240.0,18.48,1.0,0.0
2018-08-02,18.0,18.17,18.83,18.79,52867121.0,18.79,1.0,0.0
2018-08-03,18.37,18.94,19.0566,18.49,53232065.0,18.49,1.0,0.0
2018-08-06,18.46,18.89,19.44,19.43,83579668.0,19.43,1.0,0.0
2018-08-07,19.08,19.53,19.71,19.56,72822590.0,19.56,1.0,0.0
2018-08-08,19.255,19.46,19.77,19.58,52081364.0,19.58,1.0,0.0
2018-08-09,19.08,19.58,19.71,19.1,46653358.0,19.1,1.0,0.0
2018-08-10,18.85,19.09,19.48,19.06,65821056.0,19.06,1.0,0.0
2018-08-13,19.12,19.16,19.93,19.73,81411331.0,19.73,1.0,0.0
2018-08-14,19.63,19.97,20.28,20.02,89195509.0,20.02,1.0,0.0
2018-08-15,19.2,19.86,20.1,19.7,86355654.0,19.7,1.0,0.0
2018-08-16,19.25,19.86,20.07,19.33,69733708.0,19.33,1.0,0.0
2018-08-17,18.73,19.12,19.82,19.77,60616638.0,19.77,1.0,0.0
2018-08-20,19.35,19.79,20.08,19.98,62983236.0,19.98,1.0,0.0
2018-08-21,19.86,19.98,20.415,20.4,55628983.0,20.4,1.0,0.0
2018-08-22,20.21,20.28,20.92,20.9,61846028.0,20.9,1.0,0.0
